City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Hualmay,PE,2022-10-04 23:58:49,-11.0964,-77.6139,61.74,78,22,10.67
280,Morgan City,US,2022-10-04 23:53:53,29.6994,-91.2068,75.99,71,99,4.03
281,San Angelo,US,2022-10-04 23:54:21,31.4638,-100.437,84.54,22,11,5.01
282,Celestun,MX,2022-10-04 23:58:50,20.8667,-90.4,78.69,66,51,12.71
283,Fairbanks,US,2022-10-04 23:58:51,64.8378,-147.7164,54.3,53,73,3.71
284,Lata,PT,2022-10-04 23:58:51,40.1629,-8.3327,59.92,69,0,1.74
285,Sao Jose Da Coroa Grande,BR,2022-10-04 23:58:52,-8.8978,-35.1478,75.0,77,6,7.23
286,Saint-Marc,HT,2022-10-04 23:58:52,19.1082,-72.6938,82.09,77,88,2.3
287,Tiksi,RU,2022-10-04 23:58:53,71.6872,128.8694,21.58,85,100,14.7
288,Jimma,ET,2022-10-04 23:58:53,7.6667,36.8333,58.15,95,84,1.3
289,Gladstone,AU,2022-10-04 23:58:54,-23.85,151.25,74.79,56,97,10.36
290,Kaduqli,SD,2022-10-04 23:58:55,11.0167,29.7167,71.85,81,98,3.18
291,Saint George,US,2022-10-04 23:56:58,37.1041,-113.5841,87.94,24,3,3.0
292,Nuuk,GL,2022-10-04 23:58:56,64.1835,-51.7216,32.88,86,100,15.99
